ISBN,Title,Author,Imprint,Publisher Group,Volume,Value,RRP,ASP,Binding,Publ Date,Product Class
9780140276336,White Teeth,"Smith, Zadie",Penguin Books,Penguin Grp,731416,4601032 02,899,629,Paperback,25 Jan 2001,F1 1  General & Literary Fiction
9780007156108,"Devil Wears Prada,The","Weisberger, Lauren",HarperCollins Publishers,HarperCollins Grp,725210,4077326 77,799,562,Paperback,6 Oct 2003,F1 1  General & Literary Fiction
9780593059258,At My Mother's Knee    :and Other Low Joints,"O'Grady, Paul",Bantam Press,Transworld Grp,723164,7115648 91,1899,984,Hardback,24 Sep 2008,T4 1A  Autobiography:  The Arts
9780752893686,No Time for Goodbye,"Barclay, Linwood",Orion (an Imprint of The Orion,Orion Grp,722103,3833775 63,799,531,Paperback,12 Jun 2008,"F2 1  Crime, Thriller & Adventure"
9780007207329,"""Times"" Su Doku,The:The Utterly Addictive Number-placing Puzzle:(Bk  1",,Times Books,HarperCollins Grp,719307,3532794 4,599,491,Paperback,7 Mar 2005,T13 4  Puzzles
9780552998482,Chocolat,"Harris, Joanne",Black Swan,Transworld Grp,713299,4526189 31,799,635,Paperback,2 Mar 2000,F1 1  General & Literary Fiction
9780718144395,"Return of the Naked Chef,The","Oliver, Jamie",Michael Joseph,Penguin Grp,707570,11156890 07,2000,1577,Hardback,30 Mar 2000,T16 0  Food & Drink: General
9780006498407,Angela's Ashes:A Memoir of a Childhood,"McCourt, Frank",Flamingo,HarperCollins Grp,694831,5231219 6,799,753,Paperback,6 May 1997,T4 0A  Autobiography: General
9780747563204,Schott's Original Miscellany,"Schott, Ben",Bloomsbury Publishing PLC,Bloomsbury Grp,694063,6483193 57,1299,934,Hardback,4 Nov 2002,T13 3  Trivia & Quiz Books
9781847670946,Dreams from My Father:A Story of Race and Inheritance,"Obama, Barack",Canongate Books,Canongate Grp,690765,4575110 01,899,662,Paperback,5 Jun 2008,"T4 2A  Autobiography: Historical, Political & Military"
9780007232741,"Dangerous Book for Boys,The","Iggulden, Conn & Iggulden, Hal",HarperCollins Publishers,HarperCollins Grp,688808,8765298 7,2000,1273,Hardback,5 Jun 2006,"T11 5  Hobbies, Pastimes & Indoor Games"
9780099419785,To Kill a Mockingbird ,"Lee, Harper",Arrow Books,Random House Grp,682102,3637436 79,699,547,Paperback,5 Oct 1989,F1 1  General & Literary Fiction
9780747581109,Harry Potter and the Half-blood Prince,"Rowling, J  K ",Bloomsbury Publishing PLC,Bloomsbury Grp,680886,6506995 6,1699,956,Hardback,16 Jul 2005,F2 2  Science Fiction & Fantasy
9780099406136,"Summons,The","Grisham, John",Arrow Books,Random House Grp,677378,3706035 02,799,547,Paperback,28 Sep 2002,"F2 1  Crime, Thriller & Adventure"
9780552149525,"Lost Symbol,The","Brown, Dan",Corgi Books,Transworld Grp,672950,2854411 91,799,424,Paperback,22 Jul 2010,"F2 1  Crime, Thriller & Adventure"
9780140237504,"Catcher in the Rye,The","Salinger, J D ",Penguin Books,Penguin Grp,668497,4474363 25,899,669,Paperback,4 Aug 1994,F1 1  General & Literary Fiction
9780593050545,I Can Make You Thin,"McKenna, Paul",Bantam Press,Transworld Grp,665923,5131848 43,1099,771,Paperback,17 Jan 2005,T9 4  Fitness & Diet
9780718144845,Happy Days with the Naked Chef,"Oliver, Jamie",Michael Joseph,Penguin Grp,659722,8969623 21,2000,1360,Hardback,3 Sep 2001,T16 0  Food & Drink: General
9780552771153,Brick Lane,"Ali, Monica",Black Swan,Transworld Grp,659023,4182105 62,799,635,Paperback,1 May 2004,F1 1  General & Literary Fiction
9780141019376,Anybody Out There?,"Keyes, Marian",Penguin Books,Penguin Grp,658713,3401795 62,799,516,Paperback,8 Feb 2007,F1 1  General & Literary Fiction
9780552772747,"Undomestic Goddess,The","Kinsella, Sophie",Black Swan,Transworld Grp,658598,3277738 43,799,498,Paperback,2 Jan 2006,F1 1  General & Literary Fiction
9780552773898,"Book Thief,The ","Zusak, Markus",Black Swan,Transworld Grp,658524,3699537 68,799,548,Paperback,1 Jan 2008,F1 1  General & Literary Fiction
9780141022925,I Know You Got Soul,"Clarkson, Jeremy",Penguin Books,Penguin Grp,658274,3586065 99,799,545,Paperback,25 May 2006,T12 0  Transport: General
9780316731317,Sharon Osbourne Extreme:My Autobiography,"Osbourne, Sharon",Time Warner Books,"Little, Brown Book Grp",656431,7086434 17,1899,1080,Hardback,3 Oct 2005,T4 1A  Autobiography:  The Arts
9781904994497,Guinness World Records 2010,,Guinness World Records,Guinness Publisher Group,656326,6181945 47,2000,942,Hardback,17 Sep 2009,T2 0  Encyclopedias & General Reference
9780439993586,"Amber Spyglass,The:His Dark Materials S ","Pullman, Philip",Point,Scholastic Ltd  Grp,653615,3797459 74,699,581,Paperback,14 Sep 2001,Y2 2  Young Adult Fiction
9780552771108,Can You Keep a Secret?,"Kinsella, Sophie",Black Swan,Transworld Grp,652788,3722312 19,799,570,Paperback,17 Mar 2003,F1 1  General & Literary Fiction
9780552997034,Down Under,"Bryson, Bill",Black Swan,Transworld Grp,646515,4628013 69,899,716,Paperback,6 Aug 2001,T8 5  Travel Writing
9780099506928,"Spot of Bother,A","Haddon, Mark",Vintage,Random House Grp,645453,3949459 94,990,612,Paperback,7 Jun 2007,F1 1  General & Literary Fiction
9781846053443,Dear Fatty,"French, Dawn",Century,Random House Grp,643636,6330572 88,799,984,Hardback,9 Oct 2008,T4 1A  Autobiography:  The Arts
